carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados
TF-1,Int TF-4,1,DEPURADORA S/C,109.66,10258,12984,23242,782
TF-1,Radazul,11,AÑAZA,96.35,52338,46869,99207,3346
TF-1,Polígono Güímar,21,BARRANCO HONDO,92.03,49387,49174,98561,4250
TF-1,Pto Güimar,27,GÜÍMAR,102.33,29537,28461,57998,3570
TF-1,Arico,29,TÚNELES GÜÍMAR,95.52,22211,24220,46431,4757
TF-1,Granadilla,41,EL PORÍS DE ABONA,107.06,22807,22305,45112,2826
TF-1,Aeropuerto Sur,47,SAN ISIDRO,105.0,16781,16529,33310,2425
TF-1,Guaza,49,AEROPUERTO SUR,175.23,33140,30960,64100,1475
TF-1,Cristianos,57,LOS CRISTIANOS,101.45,44609,46836,91445,3903
TF-1,Adeje,65,FAÑABE,94.17,36985,34627,71612,2167
TF-1,Santiago del Teide,68,TUNEL DEL BICHO,118.0,5589,5166,10755,394
TF-11,San Andrés,140,DARSENA PESQUERA,72.29,6640,6077,12717,335
TF-111,Carretera de Ifara,377,MIR. DE LOS CAMPITOS,0.0,,,867,17
TF-111,Valle Jiménez,379,EMBALSE LOS CAMPITOS,0.0,,,1951,37
TF-111,Camino de la Piterita,381,VALLES TABARES,0.0,,,3290,63
TF-111,La Cuesta,383,LA PITERITA V. TABARES,0.0,,,5126,98
TF-113,Vía de Ronda,385,CAMINO LAS PERAS,47.02,2387,1486,3873,131
TF-113,Las Mercedes,387,JARDINA,0.0,,,6462,124
TF-114,Final Pico del Inglés,389,PICO DEL INGLÉS,0.0,,,443,9
TF-12,Acceso a Taganana,143,SAN ANDRES ROSA GRANDE,40.2,816,773,1589,71
TF-12,Acceso a Chamorga,145,PAS. CRUCE TAGANANA,0.0,,,870,23
TF-12,Acceso a Afur,147,ANTES CRUCE AFUR,0.0,,,988,30
TF-12,Acceso a las Carboneras,149,ANTES CRU.CARBONERAS,0.0,,,1231,26
TF-12,Pico del Inglés,151,ANTES CRU.PICO INGLE,0.0,,,1598,33
TF-12,Acceso a los Batanes,153,CRUZ DEL CARMEN,27.85,1223,1134,2357,108
TF-12,Las Mercedes,155,CANTERAS (RISQUETES),35.7,1290,1221,2511,129
TF-12,Las Canteras,157,LAS CANTERAS,0.0,,,5081,98
TF-121,Cantera de Piqué,393,ANTES DEL SUCULUM,0.0,,,2276,60
TF-121,Acceso a Las Gaviotas,395,LAS GAVIOTAS,0.0,,,1472,39
TF-121,Igueste de San Andrés,397,IGUESTE DE SAN ANDRES,0.0,,,870,26
TF-123,Acceso a Lomo de las Bodegas,401,BAILADERO-CHAMORGA,0.0,,,439,12
TF-123,Chamorga,403,CHAMORGA,0.0,,,194,5
TF-125,Lomo de las Bodegas,405,LOMO DE LAS BODEGAS,0.0,,,74,2
TF-13,Mercado de La Laguna,159,VIA RONDA,62.48,16072,16127,32199,1052
TF-13,Las Mercedes,163,EL BRONCO,0.0,11970,12550,24520,471
TF-13,Acceso a La Laguna,165,LA VEGA,58.83,11319,10370,21689,490
TF-13,Las Canteras,167,LAS CANTERAS,0.0,,,24250,466
TF-13,Pedro Alvarez,169,CRUCE PEDRO ALVAREZ,0.0,,,20629,396
TF-13,Tegueste,171,TEGUESTE (PAÑUELAS),54.67,9206,10161,19367,372
TF-13,Variante Tejina,173,TEJINA (ASOMADA),0.0,,,17090,328
TF-13,Tejina,174,TEJINA (VARIANTE),49.1,5291,5030,10321,123
TF-13,Bajamar,175,TEJINA (CH.MANISERO),53.26,7231,7222,14453,296
TF-13,Punta del Hidalgo,177,BAJAMAR,0.0,,,7180,138
TF-134,Taganana,407,TAGANANA ANTES TÚNEL,34.76,766,721,1487,66
TF-134,Benijos,409,PLAYA ALMACIGA,0.0,,,1121,30
TF-136,Afur,415,A ROQUE NEGRO,0.0,,,377,10
TF-138,Taborno,417,A TABORNO,0.0,,,190,5
TF-141,Pedro Alvarez,419,A PEDRO ALVAREZ,0.0,,,2102,40
TF-143,El Batán,421,A EL BATAN,0.0,,,277,5
TF-145,Aceso a Taborno,423,PICO DEL INGLES,0.0,,,481,9
TF-145,Las Carboneras,425,A LAS CARBONERAS,0.0,,,311,8
TF-152,Enlace del Aeropuerto,426,SAN LAZARO,54.5,5489,9198,14687,492
TF-152,Aeropuerto de Los Rodeos,427,HOYA D. CAMELLO-LAGUNA,54.08,4128,4889,9017,431
TF-152,Acceso a el Portezuelo,429,PORTEZUELO ALTO,46.35,7940,8453,16393,464
TF-152,Enlace TF-5,431,ERMITA CRUZ CHICA,53.51,6539,5818,12357,255
TF-152,Acceso a Guamasa,435,ANTES CRUCE TF-156,0.0,,,18367,379
TF-152,Acceso a Aguagarcía,437,LA CARIDAD,0.0,,,7168,148
TF-152,Enlace TF-5,441,TACORONTE ABALES,3979.0,5512,5057,10569,449
TF-152,El Sauzal,445,EL SAUZAL,0.0,,,7046,158
TF-154,Acceso a depósito regulador de Valle Mol,447,EL PORTEZUELO,0.0,4837,4547,9384,194
TF-154,Tegueste,449,EL SOCORRO,0.0,,,6041,190
TF-156,Camino de acceso a Garimba,451,GUAMASA- BOQUERÓN,0.0,,,11417,236
TF-156,Valle Guerra,453,BOQUERÓN- INST. ICIA,0.0,,,4362,137
TF-16,Valle Guerra,185,DEPURADORA (VALLE GUERRA),55.62,5084,4531,9615,336
TF-16,Acceso a Guamasa,183,VALLE GUERRA-CABRERA,60.63,4868,4612,9480,384
TF-16,Acceso al Pris,181,TACORONTE-CALLEJON G.,44.13,5187,4865,10052,316
TF-16,Tacoronte,179,TACORONTE-GUARDIA CIVIL,37.74,5461,6988,12449,326
TF-161,Acceso a Jover,455,DESTILERIA COCAL,0.0,,,2010,63
TF-161,La Barranquera,457,BAJADA SALINA-V. GUERRA,0.0,,,826,26
TF-163,Acceso a Tacoronte,459,ANTES CRUCE EL PRIS,0.0,,,958,30
TF-163,El Pris,461,EL PRIS CLUB TAGORO,0.0,,,1298,41
TF-165,Acceso a Mesa del Mar,463,ESC. AGRARIA TACORONTE,0.0,,,2402,76
TF-165,Juán Fernádez,465,JUAN FERNANDEZ,0.0,,,1236,39
TF-174,La Victoria,469,PAS. A PUNTILLO SOL,0.0,,,1850,51
TF-176,El Rincón,471,A EL BOYUYO,0.0,,,1991,55
TF-2,Muñeco Nieve,69,CUEVAS BLANCAS,63.89,28242,30117,58359,2073
TF-2,Leroy Merlin,73,MUÑECO DE NIEVE,76.6,43048,24468,67516,1733
TF-2,TF-5,75,AL CAMPO LA LAGUNA,51.84,42837,38110,80947,1814
TF-21,TF-211,187,MIRADOR DE HUMBOLDT,0.0,,,5886,162
TF-21,Acceso a San Antonio,189,OROTAVA LA FLORIDA,51.73,6127,7815,13942,349
TF-21,Acceso a Benijos,191,LA OROTAVA.(CHASNA),0.0,,,3175,86
TF-21,El Portillo,193,LA CALDERA,0.0,,,2650,72
TF-21,Boca de Tauce,195,TELEFÉRICO,51.1,1219,1161,2380,103
TF-21,Vilaflor,197,ANTES DE VILAFLOR,0.0,,,1481,34
TF-21,Acceso a el Frontón,199,VILAFLOR-EL PILÓN,0.0,,,981,23
TF-21,Cruz de Tea,200,CRUZ DE TEA,0.0,,,332,8
TF-21,Granadilla,201,GRANADILLA-CAMPO FUTBOL,0.0,,,1328,31
TF-211,Orotava,485,RAMAL A LA OROTAVA,52.42,14668,13112,27780,1186
TF-213,Autopista del Norte,487,INICIO TF-213 LA VICTORIA,0.0,,,3069,84
TF-213,Santa Ursula,489,EL CAÑÓN-SANTA ÚRSULA,0.0,,,6214,174
TF-215,Final Zona Urbana de La Matanza,491,LA MATANZA MAJUELOS,0.0,,,2848,81
TF-215,Autopista del Norte,493,FABRICA MÁRMOL-SAUZAL,0.0,,,618,17
TF-217,La Matanza,495,LA MATANZA FUE. LOMO,35.9,7330,7563,14893,410
TF-217,La Matanza,496,TOSCA DE GUIA-MATANZA,47.16,5013,5399,10412,236
TF-217,La Victoria,497,ANTE CRUC-TF-213-VICTORIA,0.0,,,8852,244
TF-217,Santa Ursula,499,VICTORIA PTE HIERRO,0.0,3618,3696,7314,201
TF-217,La Corujera,500,ANTES DE LA CORUJERA,0.0,,,17084,470
TF-217,Cuesta de La Villa,501,EL PINITO-SANTA URSULA,0.0,,,10603,292
TF-217,Autopista del Norte,503,CUESTA LA VILLA,0.0,,,4348,131
TF-226,El Bicho,505,ESPERANZA HUER.BICHO,0.0,,,1204,43
TF-226,Agua García,507,COLEGIO AGUAGARCIA,0.0,,,1301,31
TF-228,El Cantillo,509,AGUAGARCIA CASAS ALTAS,0.0,,,1800,37
TF-235,Cruz Chica,511,CRUZ CHICA P.CARRET,44.36,5482,4939,10421,553
TF-235,Campo de Golf,513,SUPREMA-CRUZ CHICA,46.85,3465,2857,6322,193
TF-237,Acceso a la Esperanza,515,CRUZ CHICA-EL ORTIGAL,44.42,5259,5328,10587,364
TF-237,Acceso a el Cantillo,517,BCO L. LAJAS-TACORONTE,0.0,,,5160,106
TF-237,Agua García,519,AGUAGARCIA CR.TF-228,0.0,,,5325,110
TF-24,Camino el Mataero,203,BALDIOS-PANASCA,0.0,6422,8372,14794,523
TF-24,La Esperanza,205,ESPERANZA-HORNILLO,0.0,,,7825,296
TF-24,Acceso a Las Rosas,207,LA ESPERANZA.(CASA FORESTAL),41.45,1328,1426,2754,140
TF-24,Las Raices,209,ESPERANZA CRUCE TF-276,0.0,,,1811,59
TF-24,Acceso a Arafo,211,ANTES CRUCE LOS LOROS,0.0,,,909,32
TF-24,Izaña,213,PASADO CRUCE LOS LOROS,0.0,433,450,883,32
TF-24,El Portillo,215,PORTILLO VIEJO LAGUNA,0.0,,,1110,30
TF-245,Arafo,523,ARAFO (LA HIDALGA),0.0,,,5569,120
TF-247,Acceso a Malpaís,525,A MALPAIS,0.0,,,1361,29
TF-247,Acceso a Las Cuevecitas,527,A LAS CUEVECITAS,0.0,,,701,15
TF-247,Carretera General del Sur,531,LA PUNTA-ARAYA,0.0,,,1541,33
TF-252,Intersección TF-4122 con ramal de enlace,533,ANTES COLEG. IGUESTE,0.0,,,564,12
TF-252,Acceso a Carretera General,535,DESPUÉS COLEG. IGUESTE,0.0,,,2889,60
TF-254,Barranco Hondo,537,A BARRANCO HONDO,0.0,,,3277,70
TF-256,El Tablero,539,EL TABLERO,0.0,,,7596,170
TF-263,Geneto,543,POLVORÍN GENETO,0.0,2711,2768,5479,117
TF-265,Acceso a la Esperanza,545,LA LAGUNA C. NURIANA,0.0,,,8529,310
TF-265,Acceso al cementerio de San Luis,547,CIUDAD DEPORTIVA TEN.,45.91,4789,6325,11114,402
TF-265,Llano del Moro,549,LLANO DEL MORO,0.0,,,5854,224
TF-272,Llano del Moro,553,EL SOBRADILLO,43.08,2900,2873,5773,243
TF-272,La Esperanza,555,LLANO MORO-ESPERANZA,0.0,,,3135,114
TF-274,Escuela Hogar,557,PREVENTORIO-ESPERANZA,0.0,,,1197,42
TF-276,Las Raices,559,LAS RAICES,0.0,,,238,8
TF-28,Acceso a el Tablero,217,ANTES CRUCE S. MARIA M.,0.0,5367,6579,11946,274
TF-28,Tabaiba,220,PASANDO CRUCE EL TABLERO,0.0,,,5073,114
TF-28,Barranco Hondo,221,TABAIBA-BCO. HONDO,0.0,,,695,15
TF-28,Acceso Autopista del Sur,223,BCO. HONDO-GASOLINERA,0.0,,,3541,76
TF-28,Caletillas,224,CUESTA LAS TABLAS,0.0,,,373,8
TF-28,Igueste de Candelaría,225,PASADO ACCESO CALETILLAS,0.0,,,1112,24
TF-28,Araya,227,URB. BRILLASOL,0.0,,,2208,47
TF-28,Acceso a Candelaría,229,BARRANCO DE AROBA,0.0,,,4150,89
TF-28,Malpaís de Candelaría,231,LA PEDRERA (ARAFO),0.0,,,935,20
TF-28,La Hidalga,233,ANTES SUBIDA ARAFO,0.0,,,2438,52
TF-28,Acceso a Arafo,235,ARAFO (HIDALGA),0.0,,,15851,340
TF-28,Güímar,237,SAN FRANCISCO JAVIER,49.46,5385,5467,10852,159
TF-28,El Escobonal,239,GÜÍMAR(EL BADEN),0.0,,,2141,46
TF-28,Acceso a la Zarza,241,ANTES DE SUBIDA LA ZARZA,0.0,,,833,18
TF-28,Fasnia,243,ANTES DE FASNIA,0.0,,,1189,26
TF-28,Acceso a El Bueno,245,LAS CASITAS (ARICO),0.0,,,287,6
TF-28,Arico Viejo,247,ANTES DE ARICO VIEJO,0.0,,,793,17
TF-28,Bajada al Poris,249,TEGUEDITE,0.0,,,1345,29
TF-28,Arico,250,PASANDO VILLA DE ARICO,0.0,,,1588,34
TF-28,Chimiche,251,ANTES CHIMICHE,0.0,,,976,23
TF-28,Acceso a las Palomas,253,DESPUÉS CHIMICHE,0.0,,,1807,42
TF-28,Los Blanquitos,255,ANTES LOS BLANQUITOS,0.0,,,747,17
TF-28,Granadilla,257,ANTES DE GRANADILLA,0.0,,,1312,30
TF-28,Charco del Pino,258,ANTES CHARCO DEL PINO,0.0,,,3309,77
TF-28,Acceso a el Frontón,259,ANTES DEL CRUCE FRONTON,0.0,,,2395,55
TF-28,San Miguel,261,ANTES SAN MIGUEL,0.0,,,3673,85
TF-28,El Roque,263,TAMAIDE (SAN MIGUEL),0.0,,,4631,107
TF-28,Valle San Lorenzo,265,EL ROQUE SAN MIGUEL,0.0,,,3040,70
TF-28,La Camella,267,LA FLORIDA (V S LORENZO),59.53,4339,4878,9217,236
TF-28,Acceso a Arona,269,ANTE DE CHAYOFA ARONA,0.0,,,19212,444
TF-28,Autopista del Sur,271,HOSPITAL DEL SUR,71.48,12711,13270,25981,601
TF-281,La Hidalga,561,EL VOLCAN,64.1,7779,8099,15878,341
TF-283,Autopista del Sur,563,CANDELARIA AROBA,0.0,,,8362,175
TF-287,Barranco Hondo,567,BARRANCO HONDO CRUCE TF-1,0.0,,,4861,104
TF-29,TF-5,272,C. SANTA LASTENIA,51.43,17454,12930,30384,1137
TF-293,Barranco Grande,569,SANTA MARIA DEL MAR,48.17,3185,1086,4271,232
TF-31,Acceso a el Botánico,273,PICO VIEJO,62.22,13412,12620,26032,959
TF-31,Pto. de la Cruz (Martianez),275,PTO.CRUZ (MARTIANEZ),0.0,,,10658,393
TF-312,Puerto de la Cruz,573,PTO.CRUZ (BOTANICO),45.06,9108,10856,19964,941
TF-312,Acceso a las Dehesas,575,CRUC. L DEHESAS-PTO CRUZ,0.0,11801,9216,21017,537
TF-312,Las Arenas,577,ARENAS,0.0,,,22108,593
TF-315,Camino del Burgado,579,PTO CRUZ-DEHESA BAJA,0.0,,,6469,174
TF-320,Acceso a el Puerto de la Cruz,583,LIDL- LAS ARENAS,0.0,,,15446,554
TF-320,Enlace TF-316,585,COLE. CASA AZUL,0.0,6088,7635,13723,498
TF-320,La Zamora,587,PARQUE CARRETERAS LOS REALEJOS,0.0,,,10118,272
TF-324,Los Realejos,591,CRUZ SANTA-LOS REALEJOS,0.0,,,7248,195
TF-326,Benijos,593,LA PIÑERA-PALO BLANCO,0.0,,,3822,103
TF-326,Acceso a la Orotava,599,CENTRO MÉDICO-BENIJO,0.0,,,1421,38
TF-333,La Montañeta,601,AL CAMPO LA VILLA,56.96,5175,6944,12119,458
TF-333,Los Realejos,603,MONASTERIO REALEJOS,0.0,,,15540,417
TF-342,Icod el Alto,607,REALEJOS-PRINCIPES,37.55,2525,2624,5149,146
TF-342,Acceso a San Juán de la Rambla,609,BCO CABRERA-S J RAMBLA,0.0,,,2314,62
TF-342,La Guancha,611,ANTES DE LA GUANCHA,0.0,,,4658,125
TF-342,Icod,613,LA MANCHA A LA GUANCHA,0.0,,,1840,42
TF-344,La Guancha,615,CASA FORESTAL- GUANCHA,0.0,,,206,6
TF-351,San José,617,SAN JUAN DE LA RAMBLA,0.0,,,2413,65
TF-351,La Guancha,621,SAN JOSE,0.0,,,1051,28
TF-353,La Guancha de Abajo,623,EL CONVENTO,0.0,,,1796,48
TF-366,El Amparo,629,EL AMPARO,0.0,,,5268,121
TF-366,La Vega,631,AMPARO LOS BARROS,0.0,,,3645,84
TF-373,Acceso a el Amparo,633,DE TF-82 A LA VEGA,0.0,,,389,9
TF-373,San José de los Llanos,635,LA VEGA,0.0,,,2609,60
TF-373,Puerto de Erjos,641,ERJOS-SAN JOSE DE LOS LLANOS,0.0,,,3682,130
TF-375,Arguayo,643,DEL ANILLO I. A L MANCHAS,0.0,,,1038,37
TF-375,Chio,645,CHIO CAMPO FUTBOL,0.0,,,959,29
TF-38,Chio,277,CHIO-BOCA TAUCE,0.0,,,1928,58
TF-4,Autopista del sur,81,VIA DE PENETRACIÓN,77.55,16628,16045,32673,2462
TF-414,Playa de San Marcos,647,ICOD-SAN MARCOS,0.0,,,2796,64
TF-42,Icod,135,BUEN PASO,61.37,10090,10342,20432,589
TF-42,La Centinela,137,ICOD EL EMPALME,0.0,,,19546,450
TF-42,San Marcos,139,CRUCE SAN MARCOS,68.39,6050,6846,12896,297
TF-42,Garachico,279,TÚNEL GUINCHO,58.15,5566,5800,11366,132
TF-42,Los Silos,281,GARACHICO-LOS SILOS,0.0,,,9234,310
TF-42,Buenavista,283,LOS SILOS-BUENAVISTA,51.65,4501,4468,8969,460
TF-421,El Tanque,649,LAS CRUCES,0.0,,,1187,27
TF-421,San Juán del Reparo,653,DE TANQUE BAJO A TF-82,0.0,,,1077,45
TF-423,Tierra del Trigo,655,A TIERRA DEL TRIGO,0.0,,,1258,47
TF-436,Acceso a Los Carrizales,657,EL PALMAR,52.02,1114,939,2053,72
TF-436,Masca,663,LAS PORTELAS,0.0,,,851,20
TF-436,Santiago del Teide,665,A SANTIAGO DEL TEIDE,0.0,,,1557,55
TF-445,Faro de Teno,669,FARO DE TENO-CARDON,0.0,260,257,517,20
TF-454,Acceso a Alcalá,671,A LOS GIGANTES,37.21,2779,3329,6108,230
TF-454,Puerto de Santiago,673,TAMAIMO A CRUC. GIGANTES,50.57,2934,2804,5738,187
TF-463,TF-1,674,DE GUIA DE ISORA A TF-1,0.0,,,7126,216
TF-463,Playa de San Juán,675,PLAYA SAN JUAN,0.0,,,720,31
TF-465,Acceso Urbanización Lago Abama,677,CHIQUITA INICIO TF-465,0.0,,,1002,44
TF-465,Carretera General del Sur,679,C. VERA  ERQUES CON TF-1,0.0,,,2461,74
TF-465,Acceso a Tejina de Guía,681,SUBIDA VERA DE ERQUES,0.0,,,579,18
TF-465,Vera de Erques,683,VERA DE ERQUES,0.0,,,766,23
TF-47,Acceso a Callao Salvaje,285,ARMEÑIME-PEDREGALES,50.76,10284,12630,22914,1000
TF-47,Acceso a Vera de Erques,289,PASADO CALLAO SALVAJE,0.0,,,6650,290
TF-47,Playa de San Juán,293,ANTES DE ABAMA,73.16,3243,2699,5942,276
TF-47,Alcalá,295,PLAYA SAN JUAN-ALCALA,0.0,6253,7139,13392,563
TF-47,Acceso a Playa de la Arena,297,PASADO ALCALA-JAQUITA,0.0,,,14710,642
TF-47,Acceso a Los Gigantes,299,ANTES CRUCE L. GIGANTES,50.09,2410,2767,5177,171
TF-481,San Eugenio,684,BCO TROYA-LAS AMERICAS,53.26,22012,15252,37264,1566
TF-5,Piscina Municipal,82,TÚNEL 3 DE MAYO,45.6,26627,1314,27941,674
TF-5,Autopista del Sur,83,SOMOSIERRA,92.15,48530,46384,94914,1138
TF-5,Al Campo,85,HOSPITAL RESIDENCIA,109.11,57484,47581,105065,2375
TF-5,Padre Anchieta,93,CAMPUS GUAJARA,90.35,62658,50449,113107,1766
TF-5,Bomberos,97,PADRE ANCHIETA,80.86,58036,55072,113108,3788
TF-5,Aeropuerto de Los Rodeos,99,BOMBEROS LA LAGUNA,76.92,52054,53931,105985,2877
TF-5,El Sauzal,103,ERMITA CRUZ CHICA,97.25,44527,44564,89091,2241
TF-5,Puerto de La Cruz,111,LA MATANZA,75.77,37959,36991,74950,3251
TF-5,Los Realejos,123,LA OROTAVA,91.15,34268,35092,69360,1873
TF-5,Final Tramo Desdoblado,131,BCO EL PATRONATO,69.81,12732,16514,29246,785
TF-5,San Juan de La Rambla,133,LOS REALEJOS-SOCORRO,0.0,,,29003,765
TF-5,Santo Domingo,134,SANTA CATALINA,0.0,,,28128,755
TF-5,Las Lajas,136,EL PEDREGAL,61.84,4989,4654,9643,52
TF-5,el Tanque,138,EL AMPARO,107.01,4220,4043,8263,771
TF-51,Arona,301,LA CAMELLA-ARONA,55.75,2472,2457,4929,133
TF-51,Acceso a Ifonche,303,ARONA - LAS CASAS,59.24,1115,1122,2237,101
TF-51,La Escalona,305,LA ESCALONA,0.0,,,2031,47
TF-51,Camino Real (a La Escalona),307,PASADO LA ESCALONA,0.0,,,1510,35
TF-51,Vilaflor,309,COOPERATIVA VILAFLOR,0.0,,,1845,43
TF-514,Izaña,685,IZAÑA,0.0,,,318,9
TF-523,La Cumbre,687,ARAFO LOS LOROS,0.0,,,1988,38
TF-525,Arafo,689,ARAFO (CHOGO),101.04,,,4473,85
TF-532,La Zarza,691,ANTES DE LA ZARZA,0.0,,,297,6
TF-532,La Sombrera,693,SABINA ALTA,0.0,,,320,7
TF-534,El Bueno,695,EL BUENO DESDE TF-28,0.0,,,87,2
TF-555,Las Vegas,697,A LAS VEGAS,0.0,,,517,12
TF-561,El Frontón,699,EL FRONTON,0.0,,,726,17
TF-563,Calle El Portillo,701,SUBIDA EL FRONTON,0.0,,,1773,41
TF-563,Acceso a el Frontón,703,PASADO EL FRONTON,0.0,,,788,18
TF-563,Vilaflor,705,COOPERATIVA-VILAFLOR,0.0,,,679,14
TF-565,Acceso a Jama,707,EL ROQUE,0.0,,,1105,26
TF-565,La Escalona,709,JAMA-LA ESCALONA,0.0,,,766,18
TF-567,Ifonche,711,LA ESCALONA-IFONCHE,0.0,,,713,16
TF-583,Taucho,713,A TAUCHO,0.0,,,1886,54
TF-585,Tijoco de Arriba,715,TIJOCO ALTO,0.0,,,932,28
TF-61,Autopista del Sur,311,DE GÜIMAR A LA TF-1,53.69,6135,5881,12016,237
TF-61,Puerto de Guímar.,313,TF-1-EL PUERTITO,0.0,,,12663,266
TF-616,Los Barrancos,718,LA CALETA,0.0,,,767,31
TF-616,El Tablado,719,A EL TABLADO,0.0,,,497,11
TF-617,El Escobonal,721,EL ESCOBONAL,0.0,,,1307,28
TF-620,Fasnia,723,LOS ROQUES,0.0,,,1558,33
TF-620,Fasnia,724,FASNIA (HOYA PERERA),0.0,,,826,18
TF-622,Acceso a Icor,725,CARRETERA ICOR,0.0,,,1277,27
TF-625,Autopista del Sur,727,ARICO (TOSCONITO),0.0,,,2548,55
TF-625,Porís de Abona,729,,0.0,,,4522,278
TF-627,Villa de Arico,731,EL PORIS CAR.EL LOMO,0.0,,,156,3
TF-631,TF-632,734,San Miguel e Tajao,0.0,,,761,20
TF-632,San Miguel de Tajao,733,A S. MIGUEL DE TAJAO,0.0,,,2962,132
TF-636,Carretera Municipal a El Salto,737,SAN ISIDRO EL SALTO,76.26,1735,1739,3474,68
TF-636,Acceso a los Blanquitos,739,CUEVA GACHA,56.37,1671,1655,3326,80
TF-636,Chimiche,741,HOYA SUAREZ,0.0,,,1216,28
TF-638,Los Blanquitos,743,LOS BLANQUITOS TF-28,0.0,,,940,22
TF-64,Acceso a las Palomas,315,GRANADILLA-CRUCE CHARCO EL PINO,0.0,,,12850,297
TF-64,Autopista del Sur,319,SAN ISIDRO-P. CARRETERAS,0.0,,,12662,365
TF-64,Acceso a Los Abrigos,323,TF-1 - CRUCE LA TEJITA,62.38,10026,10165,20191,515
TF-64,El Médano,325,EL MEDANO,0.0,,,20088,455
TF-643,Acceso Urbanización La Mareta,745,MEDANO LA TEJITA,0.0,,,6379,168
TF-643,Los Abrigos,749,ABRIGOS (AGUADULCE),0.0,,,7119,187
TF-645,El Guincho,751,CARRETERA ATOGO,0.0,,,836,22
TF-647,Acceso a Charco del Pino,753,CHARCO DEL PINO,47.32,4047,4304,8351,229
TF-647,Las Socas,755,LAS ZOCAS,0.0,,,6839,149
TF-65,Acceso a Las Socas,327,SAN MIGUEL- CRUCE LAS ZOCAS,0.0,,,6732,156
TF-65,Acceso a Aldea Blanca,329,ANTES CRUCE ALDEA BLANCA,0.0,7300,7196,14496,335
TF-65,Autopista del Sur,331,PASADO CRUCE ALDEA BLANCA,0.0,6741,6819,13560,314
TF-65,El Guincho,333,AMARILLA-CRUCE ATOGO,0.0,6434,7253,13687,359
TF-65,Los Abrigos,335,LOS ABRIGOS,59.74,7051,7178,14229,827
TF-652,Guargacho,757,ANTES DE GUARGACHO,0.0,,,22579,593
TF-652,Acceso a Costa de el Silencio,759,LLANOS DE GUARGACHO,0.0,,,14952,393
TF-652,Las Galletas,761,LAS ROSAS,0.0,,,17641,463
TF-653,Guaza,763,MAJADA HONDA,0.0,5971,6745,12716,326
TF-655,Acceso a Guargacho,765,POL IND LAS CHAFIRAS,0.0,,,24645,570
TF-655,Parque de la Reina,767,KARTING DEL SUR,0.0,7627,8146,15773,414
TF-655,Guaza,769,EL CHO,48.96,4835,3897,8732,414
TF-655,Los Cristianos,773,LOS CRISTIANOS,70.94,7352,6026,13378,386
TF-657,Acceso a Las Galletas,775,ALDEA BLANCA,0.0,,,7093,164
TF-657,Acceso a Valle de San Lorenzo,779,BUZANADA CAMPO FUTBOL,0.0,,,5505,127
TF-657,Cabo Blanco,781,CABO BLANCO,56.4,5854,6641,12495,335
TF-657,La Camella,783,LA CAMELLA,0.0,,,11270,261
TF-66,Buzanada,337,VALLE SAN LORENZO-BUZANADA,0.0,,,11089,257
TF-66,Final Zona Urbana de Guaza,339,BUZANADA-TF-1,0.0,,,22424,428
TF-66,Acceso a Guargacho,343,GUAZA-CRUCE TF-653,76.67,13304,13542,26846,705
TF-66,Acceso a Los Frailes,345,ANTES DEL FRAILE,0.0,,,18221,457
TF-66,Las Galletas-Playa,347,PLAYA LAS GALLETAS,0.0,,,12669,317
TF-662,Int. con TF-655,785,A CACTUS PARK,0.0,,,483,11
TF-665,Los Cristianos,787,LOS CRISTIANOS,61.68,22329,24010,46339,2103
TF-82,Las Canales,349,ANTES DEL TUNEL ICOD,50.85,1094,1535,2629,93
TF-82,Acceso La Vega,350,ANTES DE GENOVÉS,0.0,,,2155,76
TF-82,Acceso a Garachico,351,EL TANQUE-PTO ESCONDIDO,0.0,,,3069,91
TF-82,Acceso a Tierra del Trigo,353,CAMEL PARK- EL TANQUE,0.0,,,6795,240
TF-82,Ruigomez,354,RUIGOMEZ,47.87,3112,3400,6512,269
