carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados,año
TF-1,Int TF-4,1,DEPURADORA S/C,109.68,9456.0,12852.0,22308,815,2018
TF-1,Radazul,11,AÑAZA,95.73,49455.0,46725.0,96180,3422,2018
TF-1,Polígono Güímar,21,BARRANCO HONDO,91.61,48695.0,48351.0,97046,4221,2018
TF-1,Pto Güimar,27,GÜÍMAR,103.55,28508.0,29679.0,58187,3619,2018
TF-1,Arico,29,TÚNELES GÜÍMAR,99.49,22231.0,23812.0,46043,4653,2018
TF-1,Granadilla,41,EL PORÍS DE ABONA,107.17,22438.0,22566.0,45004,2733,2018
TF-1,Aeropuerto Sur,47,SAN ISIDRO,107.52,16652.0,16390.0,33042,2408,2018
TF-1,Guaza,49,AEROPUERTO SUR,175.25,33003.0,30823.0,63826,1477,2018
TF-1,Cristianos,57,LOS CRISTIANOS,100.91,44963.0,46650.0,91613,3999,2018
TF-1,Adeje,65,FAÑABE,94.06,36260.0,35108.0,71368,2193,2018
TF-1,Santiago del Teide,68,TUNEL DEL BICHO,110.59,4879.0,4515.0,9394,348,2018
TF-11,San Andrés,140,DARSENA PESQUERA,76.34,6649.0,5835.0,12484,346,2018
TF-111,Carretera de Ifara,377,MIR. DE LOS CAMPITOS,0.0,,,849,24,2018
TF-111,Valle Jiménez,379,EMBALSE LOS CAMPITOS,0.0,,,2092,58,2018
TF-111,Camino de la Piterita,381,VALLES TABARES,0.0,,,3258,99,2018
TF-111,La Cuesta,383,LA PITERITA V. TABARES,0.0,,,5125,153,2018
TF-113,Vía de Ronda,385,CAMINO LAS PERAS,47.94,2737.0,1457.0,4194,144,2018
TF-113,Las Mercedes,387,JARDINA,0.0,,,6048,107,2018
TF-114,Final Pico del Inglés,389,PICO DEL INGLÉS,0.0,,,442,8,2018
TF-12,Acceso a Taganana,143,SAN ANDRES ROSA GRANDE,40.08,817.0,775.0,1592,87,2018
TF-12,Acceso a Chamorga,145,PAS. CRUCE TAGANANA,0.0,,,840,23,2018
TF-12,Acceso a Afur,147,ANTES CRUCE AFUR,0.0,,,946,17,2018
TF-12,Acceso a las Carboneras,149,ANTES CRU.CARBONERAS,0.0,,,1195,21,2018
TF-12,Pico del Inglés,151,ANTES CRU.PICO INGLE,0.0,,,1507,27,2018
TF-12,Acceso a los Batanes,153,CRUZ DEL CARMEN,28.92,1187.0,1021.0,2208,153,2018
TF-12,Las Mercedes,155,CANTERAS (RISQUETES),36.59,1163.0,1269.0,2432,141,2018
TF-12,Las Canteras,157,LAS CANTERAS,0.0,,,5769,102,2018
TF-121,Cantera de Piqué,393,ANTES DEL SUCULUM,0.0,,,2246,62,2018
TF-121,Acceso a Las Gaviotas,395,LAS GAVIOTAS,0.0,,,1431,40,2018
TF-121,Igueste de San Andrés,397,IGUESTE DE SAN ANDRES,0.0,,,860,24,2018
TF-123,Acceso a Lomo de las Bodegas,401,BAILADERO-CHAMORGA,0.0,,,388,7,2018
TF-123,Chamorga,403,CHAMORGA,0.0,,,207,4,2018
TF-125,Lomo de las Bodegas,405,LOMO DE LAS BODEGAS,0.0,,,89,2,2018
TF-13,Mercado de La Laguna,159,VIA RONDA,62.6,15989.0,15813.0,31802,1011,2018
TF-13,Las Mercedes,163,EL BRONCO,0.0,10940.0,12177.0,23117,408,2018
TF-13,Acceso a La Laguna,165,LA VEGA,58.34,10749.0,10066.0,20815,389,2018
TF-13,Las Canteras,167,LAS CANTERAS,0.0,12482.0,11682.0,24164,427,2018
TF-13,Pedro Alvarez,169,CRUCE PEDRO ALVAREZ,0.0,,,19863,351,2018
TF-13,Tegueste,171,TEGUESTE (PAÑUELAS),54.5,9426.0,10050.0,19476,344,2018
TF-13,Variante Tejina,173,TEJINA (ASOMADA),0.0,,,16016,273,2018
